iso,beta1_waid,beta2_waid,var11,var12,var22
GLP,-0.016950134829698774,0,4.163989978181072e-8,0,0
GMB,-0.023897102418273045,0,2.7198887277004705e-7,0,0
GNB,-0.021918975357114744,0,2.4397122098072313e-7,0,0
GNQ,-0.016975818935302242,-8.576318434146413e-4,6.871806390437984e-7,-1.5929256406024009e-7,6.202712290957322e-8
GRC,-0.02326849005979274,0,1.923881324021179e-7,0,0
GRD,-0.01809554447890741,0,1.465559802241133e-7,0,0
GRL,0.029382048937286576,-0.0015789213087905873,1.1819396552026976e-6,-3.045470184628725e-7,1.5361231330163704e-07
GTM,-0.01831615901115062,-0.0017794385730464032,1.0818405182734082e-6,-3.66265535039329e-7,1.6577084014120543e-7
GUF,-0.027013127046874245,0,7.053969487868712e-7,0,0
GUM,-0.013457730631800821,0,1.2559179305207034e-7,0,0
GUY,-0.026833104616617604,0,8.302175839960143e-7,0,0
HKG,-0.013182249534373677,-9.907310965908273e-4,7.178561893154623e-7,-2.507171575054171e-7,1.186637983518541e-7
HND,-0.022426073237116956,-0.00165758532340219,1.4003673251981986e-6,-3.9898991898610334e-7,1.5733138300919098e-7
HRV,-0.0212265210842045,0,4.166813843297731e-7,0,0
HTI,-0.021405883338405828,0,1.8546932235434939e-7,0,0
HUN,-0.019680406118610057,0,4.745462260058689e-7,0,0
IDN,-0.016298705370674127,-8.655358788162773e-4,3.6179996864202335e-7,-1.0312833339208573e-7,4.35226320154421e-8
IMN,-0.002949774896912373,-9.392049741515605e-4,4.003081403548902e-7,-1.4866183524453422e-7,7.169901540343819e-8
IND,-0.02263281410835265,0,3.687047475284734e-7,0,0
IRL,-0.003998333379874382,-0.0010883301065778943,3.3813437783737785e-7,-1.0724459921340068e-7,4.757275250451046e-8
IRN,-0.02770263725846715,0,2.7061508381078944e-7,0,0
IRQ,-0.04310243718966933,0.0011487018802212173,1.5681713918842047e-6,-4.544355541123747e-7,2.016687524951062e-7
ISL,0.019856573527853957,-0.0026579960645903185,2.2474981731372084e-06,-6.116773338339251e-7,2.0468725484864912e-7
ISR,-0.02528548882597223,0,2.518525996450067e-7,0,0
ITA,-0.019603205060967226,0,2.1896640448403413e-7,0,0
JAM,-0.018846288758450902,0,1.5025982530549725e-7,0,0
JEY,-0.009005183675076855,-7.341571798076853e-4,3.448673452488064e-7,-8.846022992749397e-8,3.209473474929955e-8
JOR,-0.030064328594387235,0,3.984647395978324e-7,0,0
JPN,-0.014702823117984681,-8.11151920746437e-4,3.292036947613573e-7,-9.120486114481861e-8,4.3423295533343026e-8
KAZ,-0.01527375347174599,0,1.5027693310160953e-7,0,0
KEN,-0.016651845543220183,0,3.7210404552978095e-7,0,0
KGZ,-0.0052092147084208465,-0.0015801778837532636,3.5773082777188625e-7,-1.3995230076317487e-7,7.427283974827165e-8
KHM,-0.019354399580080367,-0.001360321674928583,2.0352482854639218e-6,-6.931654102724424e-7,3.540655368701418e-7
KIR,-0.011694406126973738,0,1.0025350321449296e-7,0,0
KNA,-0.01726857443795851,0,5.125887987341773e-8,0,0
KOR,-0.01766008476146628,0,1.6589197403034853e-7,0,0
KWT,-0.035763468307149854,0,4.4131227304352866e-7,0,0
LAO,-0.023982166466778747,0,7.806523224129878e-7,0,0
LBN,-0.023736936364668015,0,2.9707885817983774e-7,0,0
LBR,-0.02063078734642163,0,4.098058788763673e-7,0,0
LBY,-0.026820271201909916,0,2.8595665672458e-7,0,0
LCA,-0.018102643578753196,0,9.810973923291994e-8,0,0
LIE,-0.008197034145072946,-0.0012375775025469243,1.5551618065734514e-6,-6.63122398841736e-7,3.5553830010998145e-7
LKA,-0.014172435557385165,0,1.4939525357932063e-7,0,0
LSO,-0.01753289735017273,-0.0012744628708961092,8.706518878229712e-7,-2.0320981915206754e-7,8.934582158090884e-8
LTU,-6.18259496688655e-4,-0.001767206683951113,1.0520404163555047e-6,-2.915200749123333e-7,1.1388360301391167e-7
LUX,-0.011229453612049196,-0.0011321846967483964,1.2610427902046403e-6,-5.100837387541711e-7,2.6995567379330447e-7
LVA,0.0015809094495687227,-0.001885042063213765,1.0069140270184312e-6,-2.8243649996755296e-7,1.1071491696402009e-7
MAC,-0.012496290335133373,-9.469748592117952e-4,5.176765061654099e-7,-1.7690196590326464e-7,8.318635584185099e-8
MAR,-0.026872455943510346,0,3.098058148082867e-7,0,0
MDA,-0.017435335664071072,0,2.6144208895333203e-7,0,0
MDG,-0.02023822524813784,0,1.1670524066514858e-7,0,0
MDV,-0.011084629288098113,-9.173985132923425e-4,4.7259938514936217e-7,-1.7285980899952232e-7,9.126341732720926e-8
MEX,-0.02084311189844336,-9.317737084064484e-4,1.016569260482726e-6,-2.9856606840245144e-7,1.2159333522643252e-7
MKD,-0.021436100694945268,0,4.3553191708398464e-7,0,0
MLI,-0.033007624318667175,0,4.5921779155393963e-7,0,0
MLT,-0.020385352732458353,3.994836133091109e-4,3.4359650445589786e-7,-9.503248257742752e-8,3.618038434075736e-8
MMR,-0.01922615771255122,-8.632711026473755e-4,8.285661989689065e-7,-1.947911255397536e-7,6.836012062174832e-8
MNE,-0.017967727971755457,0,2.9821132838843684e-7,0,0
